
Quadro extraído em 21 de Julho de 2019 (13:35:25)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Crimes registados (N.º) pelas autoridades policiais por Localização geográfica (NUTS - 2013) e Categoria de crime -  Anual (3) ;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;
;2011;;;;;;;;;
;Categoria de crime;;;;;;;;;
;Total;Crimes contra as pessoas;Crimes de homicídio voluntário consumado;Crimes contra o património;Crimes contra a identidade cultural e integridade pessoal;Crimes contra a vida em sociedade;Crimes contra o Estado;Crimes contra animais de companhia;Crimes previstos em legislação avulsa;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;415325;91381;117;229078;4;46909;6383;- -;41570;
1: Continente;394952;84783;106;220379;x x;44150;5992;- -;39644;
11: Norte;122311;31205;23;65220;x x;15742;1509;- -;8635;
111: Alto Minho;8655;2254;x x;3980;x x;1763;112;- -;546;
1111601: Arcos de Valdevez;786;254;x x;243;x x;215;21;- -;53;
1111602: Caminha;790;184;x x;400;x x;144;10;- -;52;
1111603: Melgaço;227;58;x x;111;x x;45;? ?;- -;? ?;
1111604: Monção;561;149;x x;275;x x;121;? ?;- -;? ?;
1111605: Paredes de Coura;337;74;x x;129;x x;110;3;- -;21;
1111606: Ponte da Barca;545;137;x x;213;x x;171;4;- -;20;
1111607: Ponte de Lima;1449;355;x x;599;x x;348;21;- -;126;
1111608: Valença;828;182;x x;515;x x;88;? ?;- -;? ?;
1111609: Viana do Castelo;2822;794;x x;1296;x x;491;44;- -;197;
1111610: Vila Nova de Cerveira;310;67;x x;199;x x;30;3;- -;11;
112: Cávado;13516;3056;x x;7762;x x;1639;165;- -;894;
1120301: Amares;868;232;x x;394;x x;146;16;- -;80;
1120302: Barcelos;2762;754;x x;1215;x x;386;40;- -;367;
1120303: Braga;6748;1313;x x;4467;x x;624;56;- -;288;
1120306: Esposende;1166;267;x x;730;x x;122;15;- -;32;
1120310: Terras de Bouro;340;90;x x;156;x x;71;9;- -;14;
1120313: Vila Verde;1632;400;x x;800;x x;290;29;- -;113;
119: Ave;11604;2865;x x;6071;x x;1570;166;- -;932;
1190304: Cabeceiras de Basto;348;120;x x;130;x x;62;? ?;- -;? ?;
1190307: Fafe;1370;364;x x;626;x x;246;23;- -;111;
1190308: Guimarães;4475;1022;x x;2574;x x;493;64;- -;322;
1191705: Mondim de Basto;182;59;x x;97;x x;17;? ?;- -;? ?;
1190309: Póvoa de Lanhoso;652;130;x x;302;x x;129;13;- -;78;
1190311: Vieira do Minho;577;143;x x;280;x x;112;6;- -;36;
1190312: Vila Nova de Famalicão;3176;845;x x;1679;x x;369;34;- -;249;
1190314: Vizela;824;182;x x;383;x x;142;16;- -;101;
11A: Área Metropolitana do Porto;63152;15831;x x;35530;x x;6425;711;- -;4655;
11A0104: Arouca;376;100;x x;158;x x;81;8;- -;29;
11A0107: Espinho;1114;389;x x;533;x x;94;21;- -;77;
11A1304: Gondomar;4619;1394;x x;2680;x x;315;28;- -;202;
11A1306: Maia;4508;1055;x x;2876;x x;291;27;- -;259;
11A1308: Matosinhos;6705;1548;x x;4218;x x;447;59;- -;433;
11A0113: Oliveira de Azeméis;1640;443;x x;854;x x;199;27;- -;117;
11A1310: Paredes;2563;613;x x;1432;x x;268;28;- -;222;
11A1312: Porto;15987;3360;x x;8764;x x;2228;213;- -;1422;
11A1313: Póvoa de Varzim;1681;473;x x;1018;x x;134;11;- -;45;
11A0109: Santa Maria da Feira;4365;1216;x x;2369;x x;503;44;- -;233;
11A1314: Santo Tirso;1772;501;x x;784;x x;349;27;- -;111;
11A0116: São João da Madeira;1096;283;x x;399;x x;264;30;- -;120;
11A1318: Trofa;998;302;x x;510;x x;92;9;- -;85;
11A0119: Vale de Cambra;432;161;x x;212;x x;40;4;- -;15;
11A1315: Valongo;2558;755;x x;1523;x x;147;9;- -;124;
11A1316: Vila do Conde;2453;602;x x;1336;x x;231;39;- -;245;
11A1317: Vila Nova de Gaia;10285;2636;x x;5864;x x;742;127;- -;916;
11B: Alto Tâmega;3488;897;x x;1476;x x;893;25;- -;197;
11B1702: Boticas;162;42;x x;63;x x;46;? ?;- -;? ?;
11B1703: Chaves;1332;380;x x;641;x x;206;7;- -;98;
